world_cup_year,team_name,elo_rating,elo_rank,elo_1yr_change_rating,win_ratio,goals_ratio,count_matches
1982,West Germany,2111,1,-12,0.5660377358490566,2.406708595387841,7
1982,Brazil,2091,2,46,0.6272727272727273,2.2795454545454548,5
1982,Argentina,2006,3,7,0.5381882770870338,2.053285968028419,5
1982,Soviet Union,2001,4,49,0.5573770491803278,1.9344262295081966,5
1982,Poland,1959,5,12,0.42487046632124353,1.9481865284974094,7
1982,Belgium,1917,6,-36,0.38620689655172413,1.8436781609195403,5
1982,Yugoslavia,1916,7,42,0.4805491990846682,2.196796338672769,3
1982,Italy,1914,8,-102,0.5318066157760815,1.984732824427481,7
1982,England,1899,11,-101,0.6031746031746031,2.734920634920635,5
1982,Austria,1895,12,-36,0.4432314410480349,2.032751091703057,5
1982,France,1894,13,-31,0.37317073170731707,1.7853658536585366,7
1982,Czechoslovakia,1893,14,-18,0.4530120481927711,2,3
1982,Spain,1878,15,30,0.49049429657794674,1.8631178707224334,5
1982,Scotland,1847,17,52,0.5258620689655172,2.1206896551724137,3
1982,Hungary,1808,18,33,0.5316239316239316,2.483760683760684,3
1982,Northern Ireland,1786,21,-17,0.2620967741935484,1.1693548387096775,5
1982,Chile,1785,22,83,0.31750741839762614,1.4391691394658754,3
1982,Peru,1727,29,-2,0.35080645161290325,1.5040322580645162,3
1982,Algeria,1676,36,1,0.43373493975903615,1.5783132530120483,3
1982,Kuwait,1655,41,79,0.5035460992907801,1.9148936170212767,3
1982,Honduras,1621,43,57,0.36363636363636365,1.3484848484848484,3
1982,Cameroon,1618,45,31,0.417910447761194,1.8880597014925373,3
1982,El Salvador,1597,48,63,0.4263959390862944,1.7055837563451777,3
1982,New Zealand,1588,50,118,0.44285714285714284,2.15,3
1986,Soviet Union,2006,1,6,0.5626822157434402,1.903790087463557,4
1986,France,1990,2,-60,0.3933333333333333,1.788888888888889,7
1986,England,1936,3,-34,0.5979381443298969,2.6642120765832105,5
1986,Denmark,1930,4,41,0.44516129032258067,2.0838709677419356,4
1986,Brazil,1920,5,-24,0.6179540709812108,2.2379958246346554,5
1986,West Germany,1907,6,-66,0.5610687022900763,2.3435114503816794,7
1986,Italy,1884,8,3,0.5198135198135199,1.9207459207459208,4
1986,Argentina,1879,9,-29,0.5256198347107438,1.993388429752066,7
1986,Hungary,1871,12,45,0.5303514376996805,2.461661341853035,3
1986,Spain,1864,13,-9,0.4900662251655629,1.8245033112582782,5
1986,Scotland,1864,13,-22,0.52,2.07,3
1986,Uruguay,1861,15,-31,0.43613138686131386,1.6788321167883211,4
1986,Belgium,1844,16,43,0.3897216274089936,1.8008565310492506,7
1986,Northern Ireland,1843,17,20,0.27402135231316727,1.1316725978647686,3
1986,Mexico,1836,18,47,0.48942598187311176,1.8338368580060422,5
1986,Portugal,1831,20,-18,0.383399209486166,1.4268774703557312,3
1986,Bulgaria,1822,21,74,0.35917312661498707,1.4909560723514212,4
1986,Poland,1815,22,-67,0.42093023255813955,1.8790697674418604,4
1986,Paraguay,1778,28,-2,0.3391812865497076,1.4269005847953216,4
1986,Iraq,1703,32,88,0.5465587044534413,1.777327935222672,3
1986,Morocco,1695,33,21,0.4580152671755725,1.4923664122137406,4
1986,Canada,1676,36,70,0.35,1.21,3
1986,Algeria,1650,38,-63,0.4349775784753363,1.5650224215246638,3
1986,South Korea,1635,42,97,0.6085972850678733,2.0407239819004523,3
1990,Netherlands,2048,1,1,0.4631578947368421,2.1115789473684212,4
1990,Brazil,2008,2,12,0.6210131332082551,2.198874296435272,4
1990,West Germany,2001,3,18,0.5575221238938053,2.2778761061946904,7
1990,Italy,1964,4,-13,0.5265392781316348,1.8874734607218684,7
1990,Sweden,1960,5,8,0.4977307110438729,2.264750378214826,3
1990,Soviet Union,1956,6,-38,0.5498721227621484,1.843989769820972,3
1990,England,1945,7,60,0.593103448275862,2.5986206896551725,7
1990,Spain,1926,8,27,0.49707602339181284,1.8304093567251463,4
1990,Yugoslavia,1923,9,36,0.48111332007952284,2.10934393638171,5
1990,Romania,1892,12,-7,0.4014962593516209,1.6309226932668328,4
1990,Czechoslovakia,1891,13,43,0.4554865424430642,1.9171842650103519,5
1990,Uruguay,1874,15,22,0.4363327674023769,1.6553480475382003,4
1990,Belgium,1853,17,49,0.39243027888446214,1.794820717131474,4
1990,Colombia,1822,18,6,0.29533678756476683,1.1813471502590673,4
1990,Argentina,1803,19,-48,0.515625,1.9484375,7
1990,Scotland,1768,24,-29,0.5065420560747663,2.005607476635514,3
1990,South Korea,1746,25,17,0.610204081632653,2.0306122448979593,3
1990,Austria,1722,30,-10,0.43570057581573896,1.9520153550863724,3
1990,Egypt,1712,32,38,0.498567335243553,1.8939828080229226,3
1990,Cameroon,1705,33,31,0.45147679324894513,1.7257383966244726,5
1990,Costa Rica,1614,45,48,0.562015503875969,2.3372093023255816,4
1990,United States,1611,46,36,0.2962962962962963,1.253968253968254,3
1990,United Arab Emirates,1529,63,57,0.352112676056338,1.295774647887324,3
1994,Germany,2015,1,21,0.5604575163398693,2.2516339869281046,5
1994,Italy,2000,2,20,0.5322896281800391,1.8630136986301369,7
1994,Netherlands,1995,3,27,0.46393762183235865,2.0974658869395713,5
1994,Brazil,1950,4,-49,0.6084745762711864,2.152542372881356,7
1994,Colombia,1933,6,158,0.3080168776371308,1.1687763713080168,3
